,squareMeters,numberOfRooms,hasPool,cityCode,price
0,75523,3,1,9373,7559081.5
1,80771,39,1,39381,8085989.5
2,55712,58,1,34457,5574642.1
3,32316,47,0,27939,3232561.2
4,70429,19,1,38045,7055052.0
5,39223,36,1,39489,3926647.2
6,58682,10,1,6450,5876376.5
7,86929,100,0,98155,8696869.3
8,51522,3,0,9047,5154055.2
9,39686,42,0,71019,3970892.1
10,23563,21,1,91058,2366397.3
11,96470,74,0,92029,9652258.1
12,19127,31,0,7475,1914688.8
13,13087,44,0,40475,1320803.4
14,79770,3,1,54812,7986665.8
15,75985,60,0,6517,7607322.9
16,64169,88,1,61711,6420823.1
17,99371,31,1,96297,9944705.3
18,25966,37,1,22818,2604486.6
19,41792,43,1,80768,4187667.7
20,28795,64,1,97667,2888047.9
21,92383,12,0,71982,9244344.0
22,33279,64,0,91690,3333351.9
23,34782,47,0,35331,3482594.0
24,13386,51,0,87978,1342509.3
25,20883,56,0,85377,2091505.8
26,95121,46,1,9382,9515440.4
27,6071,72,0,8410,612471.3
28,11844,43,0,46144,1189939.3
29,52078,7,1,20372,5217708.6
30,25897,98,0,20344,2598763.3
31,85443,40,1,339,8555234.1
32,11412,78,0,73807,1145642.9
33,97550,89,1,78155,9765099.4
34,76485,47,0,90254,7653300.8
35,26169,29,0,66489,2622399.3
36,24239,87,0,73056,2427801.8
37,36239,8,1,66771,3627708.0
38,10500,88,1,10533,1057021.3
39,87060,27,1,51803,8711426.0
40,66683,19,1,50801,6677649.1
41,66569,59,1,15574,6667802.6
42,84559,29,1,53057,8460604.0
43,28749,39,1,80821,2877997.6
44,76091,38,0,59451,7614076.6
45,92696,49,0,74381,9272740.1
46,46988,66,1,4863,4707341.1
47,48062,22,1,28104,4809993.8
48,5767,97,1,44551,586742.8
49,59800,47,1,44815,5984462.1
50,54836,25,1,64601,5492532.0
51,54318,10,1,76737,5444967.8
52,70021,52,0,95678,7005572.2
53,54368,11,1,55761,5446398.1
54,31421,29,1,67505,3147829.9
55,63053,6,1,45312,6315375.7
56,4187,89,1,7488,421906.4
57,33108,82,1,52015,3316069.6
58,64393,8,0,95335,6441378.0
59,93876,60,1,5484,9390891.9
60,67040,60,1,1690,6714247.3
61,47938,17,0,64247,4797883.3
62,39090,57,0,2922,3917691.0
63,43609,66,0,6739,4364910.5
64,41998,74,0,32039,4203344.0
65,36496,9,1,51526,3656368.7
66,84016,15,0,63595,8410054.6
67,3087,27,1,9283,321717.5
68,89768,48,1,71000,8980518.3
69,30226,74,1,71053,3039243.7
70,58478,5,1,5898,5853710.6
71,66621,48,0,52165,6666403.5
72,73314,43,1,49895,7336538.8
73,59972,28,1,32083,6000826.1
74,71591,20,0,46834,7165980.8
75,92462,52,1,22405,9257840.9
76,52325,60,1,76804,5238533.2
77,67311,67,0,45626,6732249.0
78,45050,99,1,20318,4508695.3
79,61534,73,0,22943,6159875.1
80,84091,50,1,22718,8414104.3
81,77579,69,1,88798,7767797.9
82,25204,31,1,87552,2530488.0
